task_id,onet_soc_code,occupation_title,task_statement,dim1_Distributional Coverage_R,dim1_Distributional Coverage_B,dim2_Tacit Knowledge_R,dim2_Tacit Knowledge_B,dim3_Specification Ambiguity_R,dim3_Specification Ambiguity_B,dim4_Sequential Coherence_R,dim4_Sequential Coherence_B,dim5_Working Memory_R,dim5_Working Memory_B,dim6_Long-Term Memory_R,dim6_Long-Term Memory_B,dim7_Multimodal Demand_R,dim7_Multimodal Demand_B,dim8_Inference Speed_R,dim8_Inference Speed_B,dim9_Output Verifiability_R,dim9_Output Verifiability_B,dim10_Reliability Threshold_R,dim10_Reliability Threshold_B,dim11_Counterpart Acceptance_R,dim11_Counterpart Acceptance_B,dim12_Regulatory & Legal Constraints_R,dim12_Regulatory & Legal Constraints_B,exposure
1007,11-3121.00,Human Resources Managers,"Contract with vendors to provide employee services, such as food service, transportation, or relocation service.",2,1,2,2,2,2,2,1,2,1,2,1,1,0,0,0,2,2,2,2,,2,,1,0.481059
1009,11-3131.00,Training and Development Managers,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",2,1,2,1,2,2,2,1,2,1,2,1,2,2,0,0,3,2,2,2,,2,,1,0.471405
101,13-1151.00,Training and Development Specialists,"Evaluate training materials prepared by instructors, such as outlines, text, or handouts.",2,0,2,1,2,1,2,1,2,1,1,0,1,0,0,0,2,2,2,1,,1,,0,0.675969
1010,11-3131.00,Training and Development Managers,Develop testing and evaluation procedures.,2,1,2,1,3,2,2,1,2,1,2,1,1,0,0,0,2,1,2,1,,1,,0,0.610444
1012,11-3131.00,Training and Development Managers,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",3,1,2,1,3,2,2,1,2,1,2,1,1,0,0,0,2,2,2,2,,2,,0,0.504988
1013,11-3131.00,Training and Development Managers,"Develop and organize training manuals, multimedia visual aids, and other educational materials.",3,1,2,1,2,1,2,1,2,1,2,1,2,1,0,0,2,2,2,2,,0,,0,0.576148
1015,11-3131.00,Training and Development Managers,Analyze training needs to develop new training programs or modify and improve existing programs.,3,2,2,2,3,2,2,1,2,1,2,1,1,0,0,0,3,2,2,2,,2,,0,0.423316
1016,11-3131.00,Training and Development Managers,Review and evaluate training and apprenticeship programs for compliance with government standards.,2,1,2,1,1,1,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,2,,1,0.533768
1017,11-3131.00,Training and Development Managers,Train instructors and supervisors in techniques and skills for training and dealing with employees.,2,1,2,2,2,2,2,1,2,1,2,1,2,2,1,0,3,2,2,2,,2,,0,0.450849
1018,11-3131.00,Training and Development Managers,Coordinate established courses with technical and professional courses provided by community schools and designate training procedures.,2,1,2,1,3,2,2,1,2,1,2,1,1,0,1,0,2,2,2,2,,2,,1,0.520917
1019,11-3131.00,Training and Development Managers,Prepare training budget for department or organization.,2,1,2,1,2,2,2,1,2,1,2,1,0,0,0,0,2,1,2,2,,1,,1,0.571496
102,13-1151.00,Training and Development Specialists,Develop alternative training methods if expected improvements are not seen.,3,1,2,2,3,2,2,2,2,1,2,1,1,0,0,0,3,2,2,1,,1,,0,0.488592
1020,11-3061.00,Purchasing Managers,Maintain records of goods ordered and received.,2,1,1,0,1,0,1,0,2,1,3,1,1,0,0,0,1,1,2,1,,0,,0,0.74855
1021,11-3061.00,Purchasing Managers,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",3,2,2,2,2,2,2,1,2,1,2,1,1,1,1,0,2,2,2,2,,2,,1,0.450849
1022,11-3061.00,Purchasing Managers,Prepare and process requisitions and purchase orders for supplies and equipment.,2,1,1,0,1,1,2,1,2,1,2,1,1,0,0,0,1,1,2,2,,0,,1,0.641579
10223,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Compute data, such as gear dimensions or machine settings, applying knowledge of shop mathematics.",2,1,1,0,1,0,2,0,1,0,0,0,1,0,1,0,1,1,3,2,,1,,0,0.703798
1023,11-3061.00,Purchasing Managers,Control purchasing department budgets.,2,1,2,2,2,2,2,1,2,1,3,1,1,0,0,0,2,1,3,2,,2,,1,0.511404
1024,11-3061.00,Purchasing Managers,"Interview and hire staff, and oversee staff training.",3,2,3,2,3,2,2,2,2,1,3,2,2,2,2,1,3,3,3,3,,3,,1,0.0
1025,11-3061.00,Purchasing Managers,Review purchase order claims and contracts for conformance to company policy.,2,1,2,1,2,1,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,0,,1,0.56749
1026,11-3061.00,Purchasing Managers,Analyze market and delivery systems to assess present and future material availability.,3,2,2,2,3,2,2,1,3,2,2,1,1,0,0,0,3,2,2,2,,0,,0,0.400809
1027,11-3061.00,Purchasing Managers,"Develop and implement purchasing and contract management instructions, policies, and procedures.",3,2,2,2,3,2,3,2,3,2,3,2,1,0,0,0,3,2,3,2,,2,,1,0.356204
1028,11-3061.00,Purchasing Managers,"Participate in the development of specifications for equipment, products, or substitute materials.",2,1,2,2,3,2,2,1,2,1,2,1,2,2,0,0,3,2,2,2,,2,,1,0.437193
1029,11-3061.00,Purchasing Managers,Resolve vendor or contractor grievances and claims against suppliers.,3,2,3,2,3,2,2,2,2,2,2,1,1,1,1,0,3,3,3,2,,2,,1,0.0
103,13-1151.00,Training and Development Specialists,"Assess training needs through surveys, interviews with employees, focus groups, or consultation with managers, instructors, or customer representatives.",3,2,2,2,3,2,2,1,2,1,2,1,1,1,1,0,3,2,2,2,,2,,1,0.439645
1030,11-3061.00,Purchasing Managers,Represent companies in negotiating contracts and formulating policies with suppliers.,3,2,3,2,3,2,3,2,3,2,3,2,1,1,2,1,3,3,3,3,,3,,1,0.0
1031,11-3061.00,Purchasing Managers,"Review, evaluate, and approve specifications for issuing and awarding bids.",2,1,2,2,2,2,2,1,2,1,2,1,1,1,0,0,2,2,3,2,,2,,1,0.463689
1032,11-3061.00,Purchasing Managers,"Direct and coordinate activities of personnel engaged in buying, selling, and distributing materials, equipment, machinery, and supplies.",3,2,2,2,3,2,3,2,3,2,3,2,1,0,1,0,3,3,3,2,,3,,1,0.0
1033,11-3061.00,Purchasing Managers,Prepare bid awards requiring board approval.,2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,0,2,1,3,2,,2,,1,0.539449
1034,11-3061.00,Purchasing Managers,Prepare reports regarding market conditions and merchandise costs.,2,1,2,1,2,2,2,1,2,1,1,0,1,0,0,0,2,2,2,2,,0,,1,0.547494
1035,11-3061.00,Purchasing Managers,Administer online purchasing systems.,2,1,1,0,2,2,2,1,2,1,2,1,1,0,1,0,2,1,3,2,,0,,1,0.592235
1036,11-3061.00,Purchasing Managers,Arrange for disposal of surplus materials.,2,1,1,1,2,2,2,1,2,1,1,0,1,0,0,0,2,1,2,2,,1,,1,0.594011
1037,11-3071.01,"Transportation, Storage, and Distribution Managers","Direct activities related to dispatching, routing, or tracking transportation vehicles, such as aircraft or railroad cars.",3,2,2,1,2,2,2,1,3,1,2,1,2,1,3,2,2,1,3,3,,2,,3,0.0
1039,11-3071.01,"Transportation, Storage, and Distribution Managers",Direct investigations to verify and resolve customer or shipper complaints.,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,0,2,2,3,2,,2,,1,0.423316
1040,11-3071.01,"Transportation, Storage, and Distribution Managers",Serve as contact persons for all workers within assigned territories.,2,1,2,2,2,2,1,0,2,1,2,1,1,0,2,1,2,2,2,2,,2,,0,0.490911
10402,51-5111.00,Prepress Technicians and Workers,"Enter, store, and retrieve information on computer-aided equipment.",1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,2,1,,0,,0,0.913837
10403,51-5111.00,Prepress Technicians and Workers,"Enter, position, and alter text size, using computers, to make up and arrange pages so that printed materials can be produced.",2,0,1,1,2,2,2,1,2,1,1,0,2,2,1,0,1,1,2,2,,0,,0,0.568912
10406,51-5111.00,Prepress Technicians and Workers,Examine photographic images for obvious imperfections prior to plate making.,2,1,1,1,1,1,1,0,1,0,0,0,2,2,1,0,1,1,2,2,,0,,0,0.585583
1042,11-3071.01,"Transportation, Storage, and Distribution Managers","Collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives.",3,1,3,2,3,2,3,2,2,1,2,1,1,0,1,0,3,2,3,2,,2,,1,0.444033
1045,11-3071.01,"Transportation, Storage, and Distribution Managers","Develop criteria, application instructions, procedural manuals, or contracts for federal or state public transportation programs.",2,1,2,1,2,2,3,2,3,2,2,1,0,0,0,0,3,2,3,2,,1,,1,0.428888
1046,11-3071.01,"Transportation, Storage, and Distribution Managers",Monitor spending to ensure that expenses are consistent with approved budgets.,2,1,1,0,1,1,2,1,2,1,2,1,0,0,0,0,1,1,2,2,,0,,1,0.621559
10485,51-8021.00,Stationary Engineers and Boiler Operators,Contact equipment manufacturers or appropriate specialists when necessary to resolve equipment problems.,2,1,1,0,2,1,1,0,2,1,1,0,1,0,0,0,2,1,2,2,,1,,0,0.677219
105,13-1151.00,Training and Development Specialists,Select and assign instructors to conduct training.,2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,0,2,1,2,2,,2,,1,0.552592
1050,11-3071.01,"Transportation, Storage, and Distribution Managers","Analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",3,1,2,1,3,2,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,1,,1,0.527773
10503,51-8091.00,Chemical Plant and System Operators,"Notify maintenance, stationary engineering, or other auxiliary personnel to correct equipment malfunctions or to adjust power, steam, water, or air supplies.",2,1,1,1,2,2,1,0,1,0,1,0,1,0,2,0,1,1,2,2,,1,,0,0.651734
10507,51-8091.00,Chemical Plant and System Operators,Calculate material requirements or yields according to formulas.,1,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,3,2,,0,,0,0.719223
1053,11-3071.01,"Transportation, Storage, and Distribution Managers","Set operations policies and standards, including determining safety procedures for the handling of dangerous goods.",3,1,2,1,2,2,2,2,2,1,2,1,1,0,0,0,3,3,3,3,,3,,2,0.0
1054,11-3071.01,"Transportation, Storage, and Distribution Managers",Recommend or authorize capital expenditures for acquisition of new equipment or property to increase efficiency and services of operations department.,3,2,2,2,3,2,2,2,2,1,2,1,1,1,0,0,3,2,3,2,,2,,1,0.396402
1055,11-3071.01,"Transportation, Storage, and Distribution Managers","Prepare management recommendations, such as proposed fee and tariff increases or schedule changes.",2,1,2,2,3,2,2,1,2,1,2,1,0,0,0,0,3,2,2,2,,1,,1,0.471405
1058,11-3071.01,"Transportation, Storage, and Distribution Managers",Provide administrative or technical assistance to those receiving transportation-related grants.,2,1,2,1,3,2,2,1,2,1,2,1,1,0,0,0,2,2,2,2,,2,,1,0.504988
10580,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",File instrument flight plans with air traffic control to ensure that flights are coordinated with other air traffic.,2,1,1,0,1,0,2,1,2,1,0,0,1,0,1,0,1,1,3,2,,0,,1,0.646637
10586,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Plan and formulate flight activities and test schedules and prepare flight evaluation reports.,2,1,2,2,2,2,2,1,3,2,2,1,1,0,0,0,2,2,3,2,,2,,2,0.418941
1059,11-3071.01,"Transportation, Storage, and Distribution Managers","Direct procurement processes including equipment research and testing, vendor contracts, or requisitions approval.",3,2,2,2,2,2,2,1,2,1,2,1,1,1,0,0,2,2,3,2,,2,,1,0.428888
10594,53-2012.00,Commercial Pilots,"Plan flights according to government and company regulations, using aeronautical charts and navigation instruments.",3,1,2,1,1,1,3,2,2,1,1,0,3,2,1,0,2,2,3,3,,3,,2,0.0
106,13-1151.00,Training and Development Specialists,Devise programs to develop executive potential among employees in lower-level positions.,3,1,3,2,3,2,2,2,2,1,2,1,1,1,0,0,3,3,2,2,,2,,0,0.0
1060,11-9041.00,Architectural and Engineering Managers,"Confer with management, production, or marketing staff to discuss project specifications or procedures.",2,1,2,2,3,2,1,1,2,1,2,1,1,1,3,1,2,2,2,2,,2,,0,0.471405
10604,53-2012.00,Commercial Pilots,File instrument flight plans with air traffic control so that flights can be coordinated with other air traffic.,2,0,1,0,1,0,1,0,2,1,0,0,1,0,1,0,1,1,3,2,,0,,1,0.703798
10610,53-2012.00,Commercial Pilots,Plan and formulate flight activities and test schedules and prepare flight evaluation reports.,2,1,2,2,2,2,2,1,2,1,2,1,2,1,0,0,2,2,3,2,,2,,2,0.450569
10620,53-2022.00,Airfield Operations Specialists,"Procure, produce, and provide information on the safe operation of aircraft, such as flight planning publications, operations publications, charts and maps, and weather information.",2,1,1,0,2,2,2,1,2,1,1,0,2,2,1,0,3,2,3,2,,1,,2,0.482751
10624,53-2022.00,Airfield Operations Specialists,"Receive and post weather information and flight plan data, such as air routes and arrival and departure times.",1,0,1,0,1,0,1,0,2,1,0,0,1,0,2,1,1,0,3,2,,0,,1,0.683707
10625,53-2022.00,Airfield Operations Specialists,"Maintain flight and events logs, air crew flying records, and flight operations records of incoming and outgoing flights.",2,0,1,0,1,1,1,0,2,1,3,1,1,0,1,0,1,1,3,1,,0,,1,0.769234
10627,53-2022.00,Airfield Operations Specialists,Collaborate with others to plan flight schedules and air crew assignments.,2,2,2,2,2,2,3,2,3,2,2,1,1,0,1,0,2,1,3,2,,2,,2,0.406643
10634,53-2022.00,Airfield Operations Specialists,Check military flight plans with civilian agencies.,2,2,1,1,1,1,2,1,2,1,1,0,0,0,1,0,2,2,3,3,,3,,2,0.0
10645,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Read and interpret maps to determine vehicle routes.,2,0,1,1,2,1,2,0,1,0,1,0,2,1,1,0,1,1,2,1,,0,,0,0.805535
10698,53-4031.00,Railroad Conductors and Yardmasters,"Review schedules, switching orders, way bills, and shipping records to obtain cargo loading and unloading information and to plan work.",2,1,1,1,2,2,2,1,2,1,1,0,1,0,1,0,2,2,2,2,,0,,0,0.554676
1070,11-9041.00,Architectural and Engineering Managers,"Present and explain proposals, reports, or findings to clients.",3,1,2,2,3,2,2,1,2,1,2,1,2,1,2,1,2,1,3,2,,3,,1,0.0
10703,53-4031.00,Railroad Conductors and Yardmasters,"Document and prepare reports of accidents, unscheduled stops, or delays.",2,1,1,1,1,1,2,1,2,1,1,0,1,0,0,0,1,1,3,2,,1,,2,0.570279
1071,11-9041.00,Architectural and Engineering Managers,Consult or negotiate with clients to prepare project specifications.,3,2,3,2,3,2,2,2,2,1,3,2,2,2,3,1,3,2,3,2,,3,,2,0.0
10714,53-6031.00,Automotive and Watercraft Service Attendants,"Prepare daily reports of fuel, oil, and accessory sales.",1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,2,1,,0,,0,0.87358
10723,53-6031.00,Automotive and Watercraft Service Attendants,"Maintain customer records and follow up periodically with telephone, mail, or personal reminders of services due.",2,0,1,0,2,1,2,1,1,0,3,1,1,0,0,0,1,1,2,1,,0,,1,0.756724
10732,53-6051.01,Aviation Inspectors,"Prepare and maintain detailed repair, inspection, investigation, and certification records and reports.",2,1,1,1,1,1,2,1,2,1,3,1,1,0,0,0,2,2,3,2,,2,,2,0.504988
10736,53-6051.01,Aviation Inspectors,"Recommend changes in rules, policies, standards, and regulations, based on knowledge of operating conditions, aircraft improvements, and other factors.",3,2,3,2,3,2,2,2,3,2,2,1,1,1,0,0,3,3,3,3,,3,,2,0.0
1074,11-9041.00,Architectural and Engineering Managers,"Direct the engineering of water control, treatment, or distribution projects.",3,1,3,2,3,2,3,2,3,2,3,2,2,2,1,0,3,2,3,3,,3,,3,0.0
10743,53-6051.01,Aviation Inspectors,"Schedule and coordinate in-flight testing programs with ground crews and air traffic control to ensure availability of ground tracking, equipment monitoring, and related services.",2,1,2,1,2,2,3,2,2,1,2,1,1,0,1,0,2,2,3,2,,3,,2,0.0
108,13-1151.00,Training and Development Specialists,"Negotiate contracts with clients for desired training outcomes, fees, or expenses.",3,2,3,2,3,2,2,2,2,1,2,1,0,0,3,1,3,3,3,3,,3,,2,0.0
1081,11-9051.00,Food Service Managers,"Monitor budgets and payroll records, and review financial transactions to ensure that expenditures are authorized and budgeted.",2,1,1,1,1,1,2,1,2,1,2,1,1,0,1,0,1,1,3,2,,1,,1,0.621302
10814,11-9013.03,"Farmers, Ranchers, and Other Agricultural Managers",Account for and disburse funds.,2,1,1,0,1,1,2,1,2,1,2,1,1,0,0,0,1,1,3,2,,0,,1,0.615853
1082,11-9051.00,Food Service Managers,Schedule staff hours and assign duties.,2,1,2,1,2,2,2,1,2,1,2,1,0,0,1,0,2,1,2,1,,1,,0,0.631312
10824,11-9013.03,"Farmers, Ranchers, and Other Agricultural Managers","Confer with biologists, fish pathologists, and other fishery personnel to obtain data concerning fish habits, diseases, food, and environmental requirements.",2,1,2,1,2,1,1,0,2,1,1,0,1,1,1,0,2,2,2,2,,2,,0,0.566127
10825,11-9013.03,"Farmers, Ranchers, and Other Agricultural Managers",Prepare reports required by state and federal laws.,2,1,1,1,2,2,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,1,,1,0.527559
10829,13-1041.01,Environmental Compliance Inspectors,"Determine the nature of code violations and actions to be taken, and issue written notices of violation, participating in enforcement hearings, as necessary.",3,1,2,2,2,2,3,2,3,2,3,1,1,1,1,0,2,2,3,2,,3,,3,0.0
10830,13-1041.01,Environmental Compliance Inspectors,"Examine permits, licenses, applications, and records to ensure compliance with licensing requirements.",2,1,1,1,2,1,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,0,,2,0.527559
10831,13-1041.01,Environmental Compliance Inspectors,"Prepare, organize, and maintain inspection records.",2,0,1,0,1,1,1,0,2,1,3,1,1,1,0,0,2,1,2,1,,0,,1,0.737788
10833,13-1041.01,Environmental Compliance Inspectors,"Prepare written, oral, tabular, and graphic reports summarizing requirements and regulations, including enforcement and chain of custody documentation.",2,1,2,1,2,1,2,1,3,2,2,1,2,1,0,0,2,2,3,2,,2,,1,0.493203
10834,13-1041.01,Environmental Compliance Inspectors,"Monitor follow-up actions in cases where violations were found, and review compliance monitoring reports.",2,1,2,1,2,2,2,1,2,1,3,1,1,1,0,0,2,2,3,2,,1,,1,0.529134
10840,13-1041.01,Environmental Compliance Inspectors,Research and keep informed of pertinent information and developments in areas such as EPA laws and regulations.,2,1,1,0,2,2,1,0,2,1,1,0,0,0,0,0,2,2,2,2,,0,,0,0.531629
10841,13-1041.01,Environmental Compliance Inspectors,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",2,2,2,2,3,2,2,2,2,1,3,1,1,1,0,0,3,2,3,2,,2,,2,0.393664
10848,13-1041.01,Environmental Compliance Inspectors,"Review and evaluate applications for registration of products containing dangerous materials, or for pollution control discharge permits.",2,1,2,2,2,1,2,1,3,2,2,1,1,1,0,0,2,2,3,3,,2,,3,0.0
10849,13-1041.01,Environmental Compliance Inspectors,"Research and perform calculations related to landscape allowances, discharge volumes, production-based and alternative limits, and wastewater strength classifications, then make recommendations and complete documentation.",2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,1,,2,0.504988
1085,11-9051.00,Food Service Managers,Keep records required by government agencies regarding sanitation or food subsidies.,2,1,1,0,1,1,2,1,2,1,3,1,1,0,0,0,2,1,3,2,,0,,1,0.621302
10850,13-1041.01,Environmental Compliance Inspectors,"Participate in the development of spill prevention programs and hazardous waste rules and regulations, and recommend corrective actions for hazardous waste problems.",2,1,2,2,3,2,2,1,2,1,2,1,1,0,0,0,3,2,3,2,,2,,2,0.439645
10852,13-1041.01,Environmental Compliance Inspectors,"Conduct research on hazardous waste management projects in order to determine the magnitude of problems, and treatment or disposal alternatives and costs.",3,1,2,2,2,2,2,1,2,1,2,1,1,1,0,0,2,2,3,2,,0,,1,0.488029
10853,13-1041.01,Environmental Compliance Inspectors,"Respond to questions and inquiries, such as those concerning service charges and capacity fees, or refer them to supervisors.",1,0,1,0,2,1,1,0,1,0,0,0,1,0,2,0,1,1,1,1,,1,,0,0.844556
10854,13-1041.02,Compliance Officers,Issue licenses to individuals meeting standards.,2,1,1,1,1,1,2,1,2,1,2,1,1,1,0,0,1,1,3,2,,0,,3,0.0
10855,13-1041.02,Compliance Officers,"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",3,2,2,1,2,2,2,1,2,2,2,1,1,1,0,0,2,2,3,2,,0,,1,0.439836
10858,13-1041.02,Compliance Officers,"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",3,1,2,1,2,1,2,1,2,1,1,0,0,0,1,0,2,2,3,2,,1,,1,0.583795
1086,11-9051.00,Food Service Managers,Establish standards for personnel performance and customer service.,2,1,2,1,3,2,2,1,2,1,2,1,1,0,0,0,3,2,2,2,,2,,0,0.488592
10860,13-1041.02,Compliance Officers,"Prepare reports of activities, evaluations, recommendations, or decisions.",2,1,2,1,2,1,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,1,,1,0.572079
10861,13-1041.02,Compliance Officers,Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.,2,0,1,1,2,2,2,1,2,1,2,1,0,0,0,0,2,1,3,2,,0,,1,0.570279
10862,13-1041.02,Compliance Officers,"Confer with or interview officials, technical or professional specialists, or applicants to obtain information or to clarify facts relevant to licensing decisions.",3,2,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,2,3,3,,2,,1,0.0
10863,13-1041.02,Compliance Officers,Report law or regulation violations to appropriate boards or agencies.,2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,2,,2,0.480173
10865,13-1041.03,Equal Opportunity Representatives and Officers,Investigate employment practices or alleged violations of laws to document and correct discriminatory factors.,3,2,3,2,3,2,3,2,3,2,3,2,1,1,0,0,3,2,3,3,,3,,2,0.0
10866,13-1041.03,Equal Opportunity Representatives and Officers,Interpret civil rights laws and equal opportunity regulations for individuals or employers.,3,1,2,1,3,2,2,1,2,2,1,0,0,0,1,0,3,3,3,3,,2,,2,0.0
10867,13-1041.03,Equal Opportunity Representatives and Officers,Study equal opportunity complaints to clarify issues.,2,2,2,1,2,2,2,1,2,1,2,1,1,0,0,0,2,2,2,2,,1,,1,0.50866
10869,13-1041.03,Equal Opportunity Representatives and Officers,"Coordinate, monitor, or revise complaint procedures to ensure timely processing and review of complaints.",2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,2,2,3,2,,2,,1,0.442529
1087,11-9051.00,Food Service Managers,"Estimate food, liquor, wine, and other beverage consumption to anticipate amounts to be purchased or requisitioned.",2,1,2,1,2,2,2,1,2,1,2,1,0,0,0,0,2,2,2,2,,0,,0,0.51407
10870,13-1041.03,Equal Opportunity Representatives and Officers,"Prepare reports of selection, survey, or other statistics and recommendations for corrective action.",2,1,2,1,2,2,2,1,2,1,2,1,1,0,0,0,2,2,3,2,,1,,1,0.533768
10871,13-1041.03,Equal Opportunity Representatives and Officers,Conduct surveys and evaluate findings to determine if systematic discrimination exists.,3,2,2,2,3,2,2,1,2,1,2,1,1,0,0,0,3,2,3,2,,2,,1,0.427129
10873,13-1041.03,Equal Opportunity Representatives and Officers,Review company contracts to determine actions required to meet governmental equal opportunity provisions.,2,1,2,1,2,2,2,1,2,2,1,0,0,0,0,0,2,2,3,2,,0,,1,0.47304
10874,13-1041.03,Equal Opportunity Representatives and Officers,"Counsel newly hired members of minority or disadvantaged groups, informing them about details of civil rights laws.",2,1,2,1,2,1,1,0,2,1,1,0,0,0,1,0,2,2,3,2,,2,,1,0.550563
10875,13-1041.03,Equal Opportunity Representatives and Officers,"Provide information, technical assistance, or training to supervisors, managers, or employees on topics such as employee supervision, hiring, grievance procedures, or staff development.",3,1,2,1,2,2,2,1,2,1,1,0,1,1,1,0,2,2,3,2,,2,,1,0.520917
10876,13-1041.03,Equal Opportunity Representatives and Officers,Verify that all job descriptions are submitted for review and approval and that descriptions meet regulatory standards.,2,1,1,1,2,1,2,1,2,1,2,1,0,0,0,0,2,1,3,2,,1,,1,0.593932
10877,13-1041.03,Equal Opportunity Representatives and Officers,Act as liaisons between minority placement agencies and employers or between job search committees and other equal opportunity administrators.,2,1,2,2,3,2,2,2,2,1,2,1,1,1,1,0,2,2,3,2,,3,,1,0.0
10878,13-1041.03,Equal Opportunity Representatives and Officers,Consult with community representatives to develop technical assistance agreements in accordance with governmental regulations.,3,2,2,2,3,2,2,2,2,1,3,2,1,0,1,0,2,2,3,3,,3,,1,0.0
10883,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Confer with engineering personnel regarding details and implications of test procedures and results.,2,1,2,1,3,2,2,1,2,1,2,1,1,1,2,1,2,2,3,2,,2,,0,0.493203
10903,19-2012.00,Physicists,"Perform complex calculations as part of the analysis and evaluation of data, using computers.",3,1,1,1,2,2,2,1,2,1,0,0,1,0,0,0,2,1,3,2,,0,,0,0.550608
10904,19-2012.00,Physicists,Describe and express observations and conclusions in mathematical terms.,3,1,2,1,2,2,2,1,2,1,0,0,1,0,0,0,2,2,2,2,,0,,0,0.527264
10905,19-2012.00,Physicists,Analyze data from research conducted to detect and measure physical phenomena.,3,1,2,1,3,2,2,2,3,1,2,1,2,2,0,0,3,2,3,2,,0,,1,0.457985
